学校,省份,类别,排名,总分
东北农业大学,黑龙江,农业,138,33.0
广州大学,广东,综合,139,32.7
黑龙江大学,黑龙江,综合,139,32.7
南昌大学,江西,综合,139,32.7
天津财经大学,天津,财经,139,32.7
东北林业大学,黑龙江,林业,143,32.5
河南大学,河南,综合,143,32.5
河北大学,河北,综合,145,32.4
江苏师范大学,江苏,师范,146,32.3
济南大学,山东,综合,147,32.0
山东财经大学,山东,财经,147,32.0
山东科技大学,山东,理工,149,31.9
长沙理工大学,湖南,理工,150,31.7
西南政法大学,重庆,政法,151,31.4
渤海大学,辽宁,综合,152,31.3
重庆工商大学,重庆,财经,152,31.3
福建师范大学,福建,师范,152,31.3
天津师范大学,天津,师范,152,31.3
曲阜师范大学,山东,师范,156,31.2
三峡大学,湖北,综合,156,31.2
北京工商大学,北京,财经,158,31.1
西安理工大学,陕西,理工,158,31.1
浙江农林大学,浙江,林业,158,31.1
广西师范大学,广西,师范,161,31.0
温州大学,浙江,综合,161,31.0
湖北工业大学,湖北,理工,163,30.9
四川农业大学,四川,农业,163,30.9
重庆邮电大学,重庆,理工,165,30.8
河北师范大学,河北,师范,165,30.8
河南师范大学,河南,师范,165,30.8
北京体育大学,北京,体育,168,30.7
常州大学,江苏,理工,168,30.7
天津工业大学,天津,理工,168,30.7
石家庄铁道大学,河北,理工,171,30.6
中国计量大学,浙江,理工,172,30.4
海南大学,海南,综合,173,30.3
江苏科技大学,江苏,理工,173,30.3
安徽财经大学,安徽,财经,175,30.2
北京建筑大学,北京,理工,175,30.2
中南民族大学,湖北,民族,175,30.2
安徽工业大学,安徽,理工,178,30.1
北京物资学院,北京,财经,178,30.1
南通大学,江苏,综合,178,30.1
内蒙古大学,内蒙古,综合,178,30.1
中国人民公安大学,北京,政法,178,30.1
青岛科技大学,山东,理工,183,30.0
西南石油大学,四川,理工,183,30.0
武汉纺织大学,湖北,理工,185,29.9
中国民航大学,天津,理工,185,29.9
华北理工大学,河北,综合,187,29.8
南京林业大学,江苏,林业,187,29.8
西安建筑科技大学,陕西,理工,187,29.8
北方工业大学,北京,理工,190,29.7
河北科技大学,河北,理工,190,29.7
上海电力大学,上海,理工,190,29.7
安徽师范大学,安徽,师范,193,29.6
哈尔滨师范大学,黑龙江,师范,193,29.6
湖南农业大学,湖南,农业,193,29.6
上海海洋大学,上海,农业,193,29.6
上海立信会计金融学院,上海,财经,193,29.6
四川师范大学,四川,师范,193,29.6
辽宁工业大学,辽宁,理工,199,29.5
沈阳航空航天大学,辽宁,理工,200,29.4
