学校,省份,类别,排名,总分
深圳大学,广东,综合,65,259.1
西南大学,重庆,综合,66,257.5
华南师范大学,广东,师范,67,254.4
西北农林科技大学,陕西,农业,68,251.1
扬州大学,江苏,综合,69,250.5
中国地质大学（北京）,北京,理工,70,248.8
中国矿业大学（北京）,北京,理工,71,247.0
江苏大学,江苏,综合,72,245.9
东华大学,上海,理工,73,245.2
中国石油大学（华东）,山东,理工,74,244.8
宁波大学,浙江,综合,75,244.3
福州大学,福建,理工,76,243.8
北京林业大学,北京,林业,77,242.3
合肥工业大学,安徽,理工,78,240.5
陕西师范大学,陕西,师范,79,239.9
华北电力大学,北京,理工,80,235.7
浙江工业大学,浙江,理工,81,235.5
南京工业大学,江苏,理工,82,235.4
郑州大学,河南,综合,83,234.9
云南大学,云南,综合,84,234.1
湖南师范大学,湖南,师范,85,233.4
首都师范大学,北京,师范,85,233.4
南昌大学,江西,综合,87,228.4
华南农业大学,广东,农业,88,227.1
上海理工大学,上海,理工,89,221.4
安徽大学,安徽,综合,90,219.2
长安大学,陕西,理工,91,218.9
燕山大学,河北,理工,92,216.7
南京信息工程大学,江苏,理工,93,216.6
湖北大学,湖北,综合,94,214.5
广东工业大学,广东,理工,95,214.2
南京邮电大学,江苏,综合,96,213.9
河南大学,河南,综合,97,212.9
上海师范大学,上海,师范,98,212.8
杭州电子科技大学,浙江,理工,99,211.6
广州大学,广东,综合,100,211.1
广西大学,广西,综合,101,210.9
福建师范大学,福建,师范,102,210.2
湘潭大学,湖南,综合,103,210.1
浙江师范大学,浙江,师范,104,209.8
山东师范大学,山东,师范,105,207.4
河北工业大学,天津,理工,106,203.4
河北大学,河北,综合,107,201.7
青岛大学,山东,综合,108,201.4
大连海事大学,辽宁,理工,109,200.9
杭州师范大学,浙江,师范,109,200.9
浙江理工大学,浙江,理工,111,200.3
东北农业大学,黑龙江,农业,112,198.5
太原理工大学,山西,理工,112,198.5
武汉科技大学,湖北,理工,114,197.9
南京林业大学,江苏,林业,115,197.0
山西大学,山西,综合,116,196.6
东北林业大学,黑龙江,林业,117,194.8
北京建筑大学,北京,理工,118,194.1
辽宁大学,辽宁,综合,119,192.9
福建农林大学,福建,农业,120,192.5
江苏师范大学,江苏,师范,121,192.4
华侨大学,福建,综合,122,191.7
内蒙古大学,内蒙古,综合,123,191.6
汕头大学,广东,综合,124,191.2
江西师范大学,江西,师范,125,188.8
长沙理工大学,湖南,理工,126,188.3
昆明理工大学,云南,理工,127,187.5
西安理工大学,陕西,理工,128,187.2
常州大学,江苏,理工,129,186.4
黑龙江大学,黑龙江,综合,130,184.1
湖北工业大学,湖北,理工,130,184.1
西安建筑科技大学,陕西,理工,132,182.6
西南石油大学,四川,理工,133,181.9
贵州大学,贵州,综合,134,181.6
河北师范大学,河北,师范,135,181.1
安徽师范大学,安徽,师范,136,180.8
重庆邮电大学,重庆,理工,137,179.9
中国计量大学,浙江,理工,138,178.3
济南大学,山东,综合,139,177.1
辽宁师范大学,辽宁,师范,140,176.7
四川农业大学,四川,农业,141,176.2
江苏科技大学,江苏,理工,142,175.9
河南师范大学,河南,师范,143,175.7
温州大学,浙江,综合,144,175.5
天津师范大学,天津,师范,145,174.8
南通大学,江苏,综合,146,174.6
上海海事大学,上海,理工,147,173.6
海南大学,海南,综合,148,172.7
山东科技大学,山东,综合,149,172.3
天津工业大学,天津,理工,150,171.2
广西师范大学,广西,师范,151,170.8
武汉工程大学,湖北,理工,151,170.8
新疆大学,新疆,综合,153,170.3
上海海洋大学,上海,农业,154,169.9
河南农业大学,河南,农业,155,169.7
成都理工大学,四川,理工,156,168.3
三峡大学,湖北,综合,157,167.9
国际关系学院,北京,综合,158,167.5
浙江农林大学,浙江,林业,159,167.0
湖南农业大学,湖南,农业,160,165.9
陕西科技大学,陕西,理工,161,165.2
北方工业大学,北京,理工,162,164.8
西北师范大学,甘肃,师范,163,164.0
曲阜师范大学,山东,师范,164,163.3
石河子大学,新疆,综合,164,163.3
山东农业大学,山东,农业,166,162.1
云南师范大学,云南,师范,167,162.0
石家庄铁道大学,河北,理工,168,161.3
安徽农业大学,安徽,农业,169,160.5
安徽工业大学,安徽,理工,170,160.4
四川师范大学,四川,师范,171,159.7
青岛科技大学,山东,理工,172,158.3
湖南科技大学,湖南,综合,173,158.1
重庆交通大学,重庆,理工,174,157.3
河北农业大学,河北,农业,175,156.8
长春理工大学,吉林,理工,176,156.7
天津理工大学,天津,理工,176,156.7
河南科技大学,河南,综合,178,156.6
武汉纺织大学,湖北,理工,179,155.6
中北大学,山西,理工,180,155.0
齐鲁工业大学,山东,理工,181,154.6
北京信息科技大学,北京,理工,182,154.5
沈阳农业大学,辽宁,农业,183,154.4
宁夏大学,宁夏,综合,184,153.4
天津科技大学,天津,理工,185,153.3
吉林农业大学,吉林,农业,186,151.2
沈阳建筑大学,辽宁,理工,186,151.2
苏州科技大学,江苏,理工,186,151.2
上海电力大学,上海,理工,189,151.0
长江大学,湖北,综合,190,150.8
西安科技大学,陕西,理工,191,150.3
浙江海洋大学,浙江,农业,191,150.3
哈尔滨师范大学,黑龙江,师范,193,148.9
河南工业大学,河南,理工,194,148.8
沈阳航空航天大学,辽宁,理工,194,148.8
哈尔滨理工大学,黑龙江,理工,196,148.6
华东交通大学,江西,理工,197,147.9
上海工程技术大学,上海,理工,198,147.4
延边大学,吉林,综合,198,147.4
河北科技大学,河北,理工,200,146.9
