排名,排名1,学校,类型,地区,总分
79,79,上海大学,综合,上海,64.19
80,80,北京化工大学,理工,北京,64.06
81,81,中央财经大学,财经,北京,63.97
82,82,中央民族大学,民族,北京,63.86
83,83,陕西师范大学,师范,陕西,63.82
84,84,福州大学,理工,福建,63.81
85,85,北京林业大学,农林,北京,63.80
86,86,解放军理工大学,理工,江苏,63.76
87,87,对外经济贸易大学,财经,北京,63.72
88,88,华北电力大学,理工,北京,63.68
89,89,广西大学,综合,广西,63.67
90,89,华南农业大学,农林,广东,63.67
91,91,北京工业大学,理工,北京,63.63
92,92,首都师范大学,师范,北京,63.60
93,93,福建师范大学,师范,福建,63.56
94,94,东北林业大学,农林,黑龙江,63.49
95,95,山西大学,综合,山西,63.46
96,96,燕山大学,理工,河北,63.44
97,97,首都医科大学,医药,北京,63.42
98,98,新疆大学,综合,新疆,63.41
99,99,南方医科大学,医药,广东,63.39
100,99,浙江工业大学,理工,浙江,63.39
101,101,江南大学,综合,江苏,63.38
102,102,安徽大学,综合,安徽,63.36
103,102,南京工业大学,理工,江苏,63.36
104,104,海南大学,综合,海南,63.31
105,105,深圳大学,综合,广东,63.29
106,105,浙江师范大学,师范,浙江,63.29
107,105,太原理工大学,理工,山西,63.29
108,108,内蒙古大学,综合,内蒙古,63.25
109,109,河北大学,综合,河北,63.22
110,110,辽宁大学,综合,辽宁,63.21
111,111,东北财经大学,财经,辽宁,63.20
112,112,天津师范大学,师范,天津,63.17
113,113,河南大学,综合,河南,63.14
114,114,安徽师范大学,师范,安徽,63.10
115,115,石河子大学,综合,新疆,63.06
116,115,西南政法大学,政法,重庆,63.06
117,117,北京中医药大学,医药,北京,63.03
118,118,昆明理工大学,理工,云南,63.02
119,119,贵州大学,综合,贵州,63.00
120,120,杭州电子科技大学,理工,浙江,62.98
121,120,上海理工大学,理工,上海,62.98
122,122,成都理工大学,理工,四川,62.96
123,123,天津医科大学,医药,天津,62.82
124,124,湘潭大学,综合,湖南,62.77
125,125,扬州大学,综合,江苏,62.74
126,125,中国药科大学,医药,江苏,62.74
127,127,西北师范大学,师范,甘肃,62.73
128,128,黑龙江大学,综合,黑龙江,62.67
129,128,宁夏大学,综合,宁夏,62.67
130,130,河北工业大学,理工,河北,62.66
131,131,山东师范大学,师范,山东,62.65
132,131,福建农林大学,农林,福建,62.65
133,133,江苏大学,综合,江苏,62.64
134,134,四川农业大学,农林,四川,62.60
135,135,湖北大学,综合,湖北,62.59
136,136,上海师范大学,师范,上海,62.55
137,137,西安理工大学,理工,陕西,62.53
138,138,首都经济贸易大学,财经,北京,62.48
139,139,青海大学,综合,青海,62.47
140,139,哈尔滨医科大学,医药,黑龙江,62.47
141,141,中国医科大学,医药,辽宁,62.44
142,141,东北农业大学,农林,黑龙江,62.44
143,143,西安建筑科技大学,理工,陕西,62.43
144,144,西藏大学,综合,西藏,62.37
145,145,广西师范大学,师范,广西,62.33
146,146,长春理工大学,理工,吉林,62.32
147,147,山东农业大学,农林,山东,62.30
148,148,湖南农业大学,农林,湖南,62.29
149,149,大连海事大学,理工,辽宁,62.28
150,150,汕头大学,综合,广东,62.27
151,151,广州中医药大学,医药,广东,62.24
152,151,江西师范大学,师范,江西,62.24
153,151,中北大学,理工,山西,62.24
154,154,延边大学,综合,吉林,62.22
155,154,河北师范大学,师范,河北,62.22
156,154,山东科技大学,理工,山东,62.22
157,157,上海中医药大学,医药,上海,62.20
158,157,河南农业大学,农林,河南,62.20
159,159,江西财经大学,财经,江西,62.19
160,160,华侨大学,综合,福建,62.17
161,160,南京林业大学,农林,江苏,62.17
162,162,重庆医科大学,医药,重庆,62.16
163,163,青岛大学,综合,山东,62.13
164,164,南京医科大学,医药,江苏,62.12
165,165,广州大学,综合,广东,62.08
166,166,河南理工大学,理工,河南,62.07
167,167,哈尔滨理工大学,理工,黑龙江,62.06
168,168,南京中医药大学,医药,江苏,62.03
169,168,河北农业大学,农林,河北,62.03
170,170,长沙理工大学,理工,湖南,62.02
171,170,北京语言大学,语言,北京,62.02
172,172,华东政法大学,政法,上海,61.99
173,173,青岛科技大学,理工,山东,61.98
174,174,广东工业大学,理工,广东,61.96
175,175,武汉科技大学,理工,湖北,61.93
176,176,兰州交通大学,理工,甘肃,61.92
177,176,辽宁工程技术大学,理工,辽宁,61.92
178,178,天津工业大学,理工,天津,61.89
179,179,宁波大学,综合,浙江,61.83
180,179,沈阳农业大学,农林,辽宁,61.83
181,181,哈尔滨师范大学,师范,黑龙江,61.80
182,181,南京邮电大学,理工,江苏,61.80
183,183,济南大学,综合,山东,61.79
184,184,天津中医药大学,医药,天津,61.78
185,184,东北石油大学,理工,黑龙江,61.78
186,186,西南石油大学,理工,四川,61.77
187,187,安徽理工大学,理工,安徽,61.76
188,187,沈阳工业大学,理工,辽宁,61.76
189,189,浙江理工大学,理工,浙江,61.72
190,190,兰州理工大学,理工,甘肃,61.71
191,191,温州医科大学,医药,浙江,61.70
192,191,河南师范大学,师范,河南,61.70
193,193,杭州师范大学,师范,浙江,61.65
194,193,内蒙古农业大学,农林,内蒙古,61.65
195,195,云南师范大学,师范,云南,61.62
196,195,中南民族大学,民族,湖北,61.62
197,197,河南工业大学,理工,河南,61.61
198,198,四川师范大学,师范,四川,61.59
199,198,天津理工大学,理工,天津,61.59
200,200,西安科技大学,理工,陕西,61.58
