排名,学校,综合得分,地区
159,中国矿业大学（北京）,12.2,北京
160,中北大学,11.99,山西
161,湖北大学,11.96,湖北
162,石河子大学,11.91,新疆
163,常州大学,11.9,江苏
164,广东外语外贸大学,11.84,广东
165,海南大学,11.77,海南
166,杭州师范大学,11.69,浙江
167,大连海事大学,11.68,辽宁
168,西南科技大学,11.67,四川
169,辽宁大学,11.59,辽宁
170,中国传媒大学,11.5,北京
171,陕西科技大学,11.47,陕西
172,三峡大学,11.32,湖北
173,山东理工大学,11.31,山东
174,山东财经大学,11.29,山东
175,上海中医药大学,11.23,上海
176,福建医科大学,11.22,福建
177,江苏科技大学,11.15,江苏
178,重庆邮电大学,11.13,重庆
179,东北财经大学,11.11,辽宁
180,长沙理工大学,11.01,湖南
181,浙江工商大学,10.99,浙江
182,大连医科大学,10.94,辽宁
183,北京外国语大学,10.93,北京
184,成都理工大学,10.9,四川
185,新疆大学,10.85,新疆
186,天津工业大学,10.82,天津
187,湖南农业大学,10.76,湖南
188,河北医科大学,10.72,河北
189,兰州理工大学,10.57,甘肃
190,中央民族大学,10.5,北京
191,河南农业大学,10.42,河南
192,哈尔滨理工大学,10.41,黑龙江
193,湖南科技大学,10.31,湖南
194,首都经济贸易大学,10.23,北京
195,温州大学,10.19,浙江
196,长江大学,10.17,湖北
197,中南民族大学,10.17,湖北
198,河北农业大学,10.15,河北
199,青岛农业大学,10.05,山东
200,广西师范大学,9.92,广西
